------------------------------------------------------------------------------------------------------------------------------------------------------
PID                 Executed Processing Time      PC                  State               I/O                 CPU                 Transition
7                   3898                          3899                WAITING             193                 193                 WAITING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4208                          4209                READY               197                 197                 WAITING -> READY
0                   4248                          4249                WAITING             197                 197                 WAITING -> WAITING
1                   3746                          3747                READY               190                 190                 WAITING -> READY
2                   3859                          3860                WAITING             190                 190                 WAITING -> WAITING
5                   4031                          4032                WAITING             206                 206                 WAITING -> WAITING
7                   3898                          3899                READY               193                 193                 WAITING -> READY
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4208                          4209                RUNNING             197                 198                 READY -> RUNNING
9                   4215                          4216                WAITING             198                 198                 RUNNING -> WAITING
0                   4248                          4249                READY               197                 197                 WAITING -> READY
1                   3746                          3747                RUNNING             190                 191                 READY -> RUNNING
1                   3769                          3770                WAITING             191                 191                 RUNNING -> WAITING
2                   3859                          3860                WAITING             190                 190                 WAITING -> WAITING
5                   4031                          4032                READY               206                 206                 WAITING -> READY
7                   3898                          3899                RUNNING             193                 194                 READY -> RUNNING
7                   3909                          3910                WAITING             194                 194                 RUNNING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4215                          4216                READY               198                 198                 WAITING -> READY
0                   4248                          4249                RUNNING             197                 198                 READY -> RUNNING
0                   4265                          4266                WAITING             198                 198                 RUNNING -> WAITING
1                   3769                          3770                READY               191                 191                 WAITING -> READY
2                   3859                          3860                WAITING             190                 190                 WAITING -> WAITING
5                   4031                          4032                RUNNING             206                 207                 READY -> RUNNING
5                   4043                          4044                WAITING             207                 207                 RUNNING -> WAITING
7                   3909                          3910                READY               194                 194                 WAITING -> READY
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4215                          4216                RUNNING             198                 199                 READY -> RUNNING
9                   4285                          4286                WAITING             199                 199                 RUNNING -> WAITING
0                   4265                          4266                WAITING             198                 198                 WAITING -> WAITING
1                   3769                          3770                RUNNING             191                 192                 READY -> RUNNING
1                   3781                          3782                WAITING             192                 192                 RUNNING -> WAITING
2                   3859                          3860                WAITING             190                 190                 WAITING -> WAITING
5                   4043                          4044                READY               207                 207                 WAITING -> READY
7                   3909                          3910                RUNNING             194                 195                 READY -> RUNNING
7                   3917                          3918                WAITING             195                 195                 RUNNING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4285                          4286                WAITING             199                 199                 WAITING -> WAITING
0                   4265                          4266                WAITING             198                 198                 WAITING -> WAITING
1                   3781                          3782                READY               192                 192                 WAITING -> READY
2                   3859                          3860                WAITING             190                 190                 WAITING -> WAITING
5                   4043                          4044                RUNNING             207                 208                 READY -> RUNNING
5                   4102                          4103                WAITING             208                 208                 RUNNING -> WAITING
7                   3917                          3918                WAITING             195                 195                 WAITING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4285                          4286                READY               199                 199                 WAITING -> READY
0                   4265                          4266                WAITING             198                 198                 WAITING -> WAITING
1                   3781                          3782                RUNNING             192                 193                 READY -> RUNNING
1                   3829                          3830                WAITING             193                 193                 RUNNING -> WAITING
2                   3859                          3860                READY               190                 190                 WAITING -> READY
5                   4102                          4103                WAITING             208                 208                 WAITING -> WAITING
7                   3917                          3918                READY               195                 195                 WAITING -> READY
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4285                          4286                RUNNING             199                 200                 READY -> RUNNING
9                   4327                          4328                WAITING             200                 200                 RUNNING -> WAITING
0                   4265                          4266                READY               198                 198                 WAITING -> READY
1                   3829                          3830                WAITING             193                 193                 WAITING -> WAITING
2                   3859                          3860                RUNNING             190                 191                 READY -> RUNNING
2                   3861                          3862                WAITING             191                 191                 RUNNING -> WAITING
5                   4102                          4103                WAITING             208                 208                 WAITING -> WAITING
7                   3917                          3918                RUNNING             195                 196                 READY -> RUNNING
7                   3961                          3962                WAITING             196                 196                 RUNNING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4327                          4328                WAITING             200                 200                 WAITING -> WAITING
0                   4265                          4266                RUNNING             198                 199                 READY -> RUNNING
0                   4300                          4301                WAITING             199                 199                 RUNNING -> WAITING
1                   3829                          3830                WAITING             193                 193                 WAITING -> WAITING
2                   3861                          3862                READY               191                 191                 WAITING -> READY
5                   4102                          4103                WAITING             208                 208                 WAITING -> WAITING
7                   3961                          3962                WAITING             196                 196                 WAITING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4327                          4328                READY               200                 200                 WAITING -> READY
0                   4300                          4301                READY               199                 199                 WAITING -> READY
1                   3829                          3830                READY               193                 193                 WAITING -> READY
2                   3861                          3862                RUNNING             191                 192                 READY -> RUNNING
2                   3866                          3867                WAITING             192                 192                 RUNNING -> WAITING
5                   4102                          4103                READY               208                 208                 WAITING -> READY
7                   3961                          3962                WAITING             196                 196                 WAITING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4327                          4328                RUNNING             200                 201                 READY -> RUNNING
9                   4331                          4332                WAITING             201                 201                 RUNNING -> WAITING
0                   4300                          4301                RUNNING             199                 200                 READY -> RUNNING
0                   4328                          4329                WAITING             200                 200                 RUNNING -> WAITING
1                   3829                          3830                RUNNING             193                 194                 READY -> RUNNING
1                   3856                          3857                WAITING             194                 194                 RUNNING -> WAITING
2                   3866                          3867                WAITING             192                 192                 WAITING -> WAITING
5                   4102                          4103                RUNNING             208                 209                 READY -> RUNNING
5                   4106                          4107                WAITING             209                 209                 RUNNING -> WAITING
7                   3961                          3962                WAITING             196                 196                 WAITING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4331                          4332                WAITING             201                 201                 WAITING -> WAITING
0                   4328                          4329                READY               200                 200                 WAITING -> READY
1                   3856                          3857                WAITING             194                 194                 WAITING -> WAITING
2                   3866                          3867                READY               192                 192                 WAITING -> READY
5                   4106                          4107                READY               209                 209                 WAITING -> READY
7                   3961                          3962                WAITING             196                 196                 WAITING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4331                          4332                READY               201                 201                 WAITING -> READY
0                   4328                          4329                RUNNING             200                 201                 READY -> RUNNING
0                   4334                          4335                WAITING             201                 201                 RUNNING -> WAITING
1                   3856                          3857                WAITING             194                 194                 WAITING -> WAITING
2                   3866                          3867                RUNNING             192                 193                 READY -> RUNNING
2                   3899                          3900                WAITING             193                 193                 RUNNING -> WAITING
5                   4106                          4107                RUNNING             209                 210                 READY -> RUNNING
5                   4159                          4160                WAITING             210                 210                 RUNNING -> WAITING
7                   3961                          3962                READY               196                 196                 WAITING -> READY
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4331                          4332                RUNNING             201                 202                 READY -> RUNNING
9                   4333                          4334                WAITING             202                 202                 RUNNING -> WAITING
0                   4334                          4335                WAITING             201                 201                 WAITING -> WAITING
1                   3856                          3857                READY               194                 194                 WAITING -> READY
2                   3899                          3900                WAITING             193                 193                 WAITING -> WAITING
5                   4159                          4160                WAITING             210                 210                 WAITING -> WAITING
7                   3961                          3962                RUNNING             196                 197                 READY -> RUNNING
7                   3964                          3965                WAITING             197                 197                 RUNNING -> WAITING
8                   3691                          3692                WAITING             198                 198                 WAITING -> WAITING
9                   4333                          4334                WAITING             202                 202                 WAITING -> WAITING
0                   4334                          4335                READY               201                 201                 WAITING -> READY
1                   3856                          3857                RUNNING             194                 195                 READY -> RUNNING
1                   3865                          3866                WAITING             195                 195                 RUNNING -> WAITING
2                   3899                          3900                WAITING             193                 193                 WAITING -> WAITING
5                   4159                          4160                WAITING             210                 210                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3691                          3692                READY               198                 198                 WAITING -> READY
9                   4333                          4334                WAITING             202                 202                 WAITING -> WAITING
0                   4334                          4335                RUNNING             201                 202                 READY -> RUNNING
0                   4362                          4363                WAITING             202                 202                 RUNNING -> WAITING
1                   3865                          3866                READY               195                 195                 WAITING -> READY
2                   3899                          3900                WAITING             193                 193                 WAITING -> WAITING
5                   4159                          4160                WAITING             210                 210                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3691                          3692                RUNNING             198                 199                 READY -> RUNNING
8                   3700                          3701                WAITING             199                 199                 RUNNING -> WAITING
9                   4333                          4334                WAITING             202                 202                 WAITING -> WAITING
0                   4362                          4363                READY               202                 202                 WAITING -> READY
1                   3865                          3866                RUNNING             195                 196                 READY -> RUNNING
1                   3878                          3879                WAITING             196                 196                 RUNNING -> WAITING
2                   3899                          3900                READY               193                 193                 WAITING -> READY
5                   4159                          4160                WAITING             210                 210                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3700                          3701                WAITING             199                 199                 WAITING -> WAITING
9                   4333                          4334                WAITING             202                 202                 WAITING -> WAITING
0                   4362                          4363                RUNNING             202                 203                 READY -> RUNNING
0                   4367                          4368                WAITING             203                 203                 RUNNING -> WAITING
1                   3878                          3879                WAITING             196                 196                 WAITING -> WAITING
2                   3899                          3900                RUNNING             193                 194                 READY -> RUNNING
2                   3918                          3919                WAITING             194                 194                 RUNNING -> WAITING
5                   4159                          4160                WAITING             210                 210                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3700                          3701                READY               199                 199                 WAITING -> READY
9                   4333                          4334                READY               202                 202                 WAITING -> READY
0                   4367                          4368                WAITING             203                 203                 WAITING -> WAITING
1                   3878                          3879                WAITING             196                 196                 WAITING -> WAITING
2                   3918                          3919                WAITING             194                 194                 WAITING -> WAITING
5                   4159                          4160                READY               210                 210                 WAITING -> READY
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3700                          3701                RUNNING             199                 200                 READY -> RUNNING
8                   3713                          3714                WAITING             200                 200                 RUNNING -> WAITING
9                   4333                          4334                RUNNING             202                 203                 READY -> RUNNING
9                   4371                          4372                WAITING             203                 203                 RUNNING -> WAITING
0                   4367                          4368                READY               203                 203                 WAITING -> READY
1                   3878                          3879                WAITING             196                 196                 WAITING -> WAITING
2                   3918                          3919                WAITING             194                 194                 WAITING -> WAITING
5                   4159                          4160                RUNNING             210                 211                 READY -> RUNNING
5                   4176                          4177                WAITING             211                 211                 RUNNING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3713                          3714                WAITING             200                 200                 WAITING -> WAITING
9                   4371                          4372                READY               203                 203                 WAITING -> READY
0                   4367                          4368                RUNNING             203                 204                 READY -> RUNNING
0                   4385                          4386                WAITING             204                 204                 RUNNING -> WAITING
1                   3878                          3879                WAITING             196                 196                 WAITING -> WAITING
2                   3918                          3919                WAITING             194                 194                 WAITING -> WAITING
5                   4176                          4177                WAITING             211                 211                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3713                          3714                READY               200                 200                 WAITING -> READY
9                   4371                          4372                RUNNING             203                 204                 READY -> RUNNING
9                   4377                          4378                WAITING             204                 204                 RUNNING -> WAITING
0                   4385                          4386                READY               204                 204                 WAITING -> READY
1                   3878                          3879                WAITING             196                 196                 WAITING -> WAITING
2                   3918                          3919                WAITING             194                 194                 WAITING -> WAITING
5                   4176                          4177                WAITING             211                 211                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3713                          3714                RUNNING             200                 201                 READY -> RUNNING
8                   3738                          3739                WAITING             201                 201                 RUNNING -> WAITING
9                   4377                          4378                READY               204                 204                 WAITING -> READY
0                   4385                          4386                RUNNING             204                 205                 READY -> RUNNING
0                   4390                          4391                WAITING             205                 205                 RUNNING -> WAITING
1                   3878                          3879                READY               196                 196                 WAITING -> READY
2                   3918                          3919                WAITING             194                 194                 WAITING -> WAITING
5                   4176                          4177                WAITING             211                 211                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3738                          3739                WAITING             201                 201                 WAITING -> WAITING
9                   4377                          4378                RUNNING             204                 205                 READY -> RUNNING
9                   4432                          4433                WAITING             205                 205                 RUNNING -> WAITING
0                   4390                          4391                READY               205                 205                 WAITING -> READY
1                   3878                          3879                RUNNING             196                 197                 READY -> RUNNING
1                   3880                          3881                WAITING             197                 197                 RUNNING -> WAITING
2                   3918                          3919                WAITING             194                 194                 WAITING -> WAITING
5                   4176                          4177                WAITING             211                 211                 WAITING -> WAITING
7                   3964                          3965                WAITING             197                 197                 WAITING -> WAITING
8                   3738                          3739                READY               201                 201                 WAITING -> READY
9                   4432                          4433                WAITING             205                 205                 WAITING -> WAITING
0                   4390                          4391                RUNNING             205                 206                 READY -> RUNNING
0                   4427                          4428                WAITING             206                 206                 RUNNING -> WAITING
1                   3880                          3881                WAITING             197                 197                 WAITING -> WAITING
2                   3918                          3919                READY               194                 194                 WAITING -> READY
5                   4176                          4177                READY               211                 211                 WAITING -> READY
7                   3964                          3965                READY               197                 197                 WAITING -> READY
8                   3738                          3739                RUNNING             201                 202                 READY -> RUNNING
8                   3744                          3745                WAITING             202                 202                 RUNNING -> WAITING
9                   4432                          4433                WAITING             205                 205                 WAITING -> WAITING
0                   4427                          4428                WAITING             206                 206                 WAITING -> WAITING
1                   3880                          3881                WAITING             197                 197                 WAITING -> WAITING
2                   3918                          3919                RUNNING             194                 195                 READY -> RUNNING
2                   3930                          3931                WAITING             195                 195                 RUNNING -> WAITING
5                   4176                          4177                RUNNING             211                 212                 READY -> RUNNING
5                   4180                          4181                WAITING             212                 212                 RUNNING -> WAITING
7                   3964                          3965                RUNNING             197                 198                 READY -> RUNNING
7                   3971                          3972                WAITING             198                 198                 RUNNING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4432                          4433                WAITING             205                 205                 WAITING -> WAITING
0                   4427                          4428                WAITING             206                 206                 WAITING -> WAITING
1                   3880                          3881                READY               197                 197                 WAITING -> READY
2                   3930                          3931                WAITING             195                 195                 WAITING -> WAITING
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                WAITING             198                 198                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4432                          4433                WAITING             205                 205                 WAITING -> WAITING
0                   4427                          4428                WAITING             206                 206                 WAITING -> WAITING
1                   3880                          3881                RUNNING             197                 198                 READY -> RUNNING
1                   3884                          3885                WAITING             198                 198                 RUNNING -> WAITING
2                   3930                          3931                READY               195                 195                 WAITING -> READY
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                WAITING             198                 198                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4432                          4433                READY               205                 205                 WAITING -> READY
0                   4427                          4428                READY               206                 206                 WAITING -> READY
1                   3884                          3885                READY               198                 198                 WAITING -> READY
2                   3930                          3931                RUNNING             195                 196                 READY -> RUNNING
2                   3942                          3943                WAITING             196                 196                 RUNNING -> WAITING
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                WAITING             198                 198                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4432                          4433                RUNNING             205                 206                 READY -> RUNNING
9                   4509                          4510                WAITING             206                 206                 RUNNING -> WAITING
0                   4427                          4428                RUNNING             206                 207                 READY -> RUNNING
0                   4442                          4443                WAITING             207                 207                 RUNNING -> WAITING
1                   3884                          3885                RUNNING             198                 199                 READY -> RUNNING
1                   3894                          3895                WAITING             199                 199                 RUNNING -> WAITING
2                   3942                          3943                WAITING             196                 196                 WAITING -> WAITING
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                WAITING             198                 198                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4509                          4510                READY               206                 206                 WAITING -> READY
0                   4442                          4443                WAITING             207                 207                 WAITING -> WAITING
1                   3894                          3895                WAITING             199                 199                 WAITING -> WAITING
2                   3942                          3943                READY               196                 196                 WAITING -> READY
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                WAITING             198                 198                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4509                          4510                RUNNING             206                 207                 READY -> RUNNING
9                   4512                          4513                WAITING             207                 207                 RUNNING -> WAITING
0                   4442                          4443                WAITING             207                 207                 WAITING -> WAITING
1                   3894                          3895                READY               199                 199                 WAITING -> READY
2                   3942                          3943                RUNNING             196                 197                 READY -> RUNNING
2                   3973                          3974                WAITING             197                 197                 RUNNING -> WAITING
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                READY               198                 198                 WAITING -> READY
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4512                          4513                WAITING             207                 207                 WAITING -> WAITING
0                   4442                          4443                WAITING             207                 207                 WAITING -> WAITING
1                   3894                          3895                RUNNING             199                 200                 READY -> RUNNING
1                   3980                          3981                WAITING             200                 200                 RUNNING -> WAITING
2                   3973                          3974                WAITING             197                 197                 WAITING -> WAITING
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3971                          3972                RUNNING             198                 199                 READY -> RUNNING
7                   3992                          3993                WAITING             199                 199                 RUNNING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4512                          4513                WAITING             207                 207                 WAITING -> WAITING
0                   4442                          4443                WAITING             207                 207                 WAITING -> WAITING
1                   3980                          3981                WAITING             200                 200                 WAITING -> WAITING
2                   3973                          3974                READY               197                 197                 WAITING -> READY
5                   4180                          4181                WAITING             212                 212                 WAITING -> WAITING
7                   3992                          3993                WAITING             199                 199                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4512                          4513                READY               207                 207                 WAITING -> READY
0                   4442                          4443                READY               207                 207                 WAITING -> READY
1                   3980                          3981                WAITING             200                 200                 WAITING -> WAITING
2                   3973                          3974                RUNNING             197                 198                 READY -> RUNNING
2                   3998                          3999                WAITING             198                 198                 RUNNING -> WAITING
5                   4180                          4181                READY               212                 212                 WAITING -> READY
7                   3992                          3993                WAITING             199                 199                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
9                   4512                          4513                RUNNING             207                 208                 READY -> RUNNING
9                   4530                          4531                WAITING             208                 208                 RUNNING -> WAITING
0                   4442                          4443                RUNNING             207                 208                 READY -> RUNNING
0                   4457                          4458                WAITING             208                 208                 RUNNING -> WAITING
1                   3980                          3981                WAITING             200                 200                 WAITING -> WAITING
2                   3998                          3999                WAITING             198                 198                 WAITING -> WAITING
5                   4180                          4181                RUNNING             212                 213                 READY -> RUNNING
5                   4224                          4225                WAITING             213                 213                 RUNNING -> WAITING
7                   3992                          3993                WAITING             199                 199                 WAITING -> WAITING
8                   3744                          3745                WAITING             202                 202                 WAITING -> WAITING
